,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
25,51,33,26,23,20,20,18,18,17,17,15,15,14,13,13,13,12,12,12,12,66,145,204,204,204,76,25,14,13,13,13,13,13,13,14,14,14,14,15,20,15,15,15,15,15,15,17,17,18,18,18,18,19,20,21,21,23,22,18,18
26,51,33,26,22,20,20,19,18,17,17,15,15,14,13,13,13,12,12,12,28,95,201,204,204,89,24,12,12,13,13,13,13,13,13,14,14,14,14,15,15,15,15,15,15,15,15,17,17,18,18,18,18,20,20,21,21,23,22,19,18
27,51,33,26,21,20,20,19,18,16,15,15,15,13,13,13,13,12,12,12,70,179,204,204,168,27,13,13,13,13,13,13,13,14,14,14,14,15,15,15,15,15,15,15,15,17,17,17,17,18,18,18,18,20,20,21,21,23,22,19,18
28,51,33,26,22,20,20,18,18,16,15,15,15,13,13,13,13,12,12,19,93,201,204,204,51,17,12,13,13,13,13,13,13,14,14,14,14,15,15,15,15,15,15,15,16,17,17,18,18,18,18,18,18,20,20,21,21,23,22,19,18
29,50,31,26,21,20,20,18,18,17,16,14,14,13,13,13,13,12,12,32,140,204,204,188,26,13,13,13,13,13,13,14,14,14,14,15,15,15,15,15,15,15,16,15,15,17,17,18,18,18,18,19,19,20,20,21,21,23,22,19,19
30,51,31,26,21,21,19,18,18,16,15,14,14,13,13,13,13,12,12,41,163,204,204,145,23,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,15,16,15,15,17,17,18,18,18,18,19,19,20,20,21,21,23,22,20,19
31,51,31,26,21,21,21,18,18,17,15,15,14,13,13,13,13,12,12,58,188,204,204,77,17,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,16,16,15,15,17,17,18,18,18,18,19,19,20,20,21,21,23,22,20,19
32,51,32,26,21,21,21,18,18,17,15,15,14,13,13,13,13,13,13,68,193,204,204,55,14,13,13,14,14,14,14,26,39,40,40,40,40,40,40,40,16,15,15,17,17,17,17,18,18,19,19,19,19,21,21,21,21,23,22,19,19
33,51,32,26,21,21,21,18,18,17,15,15,14,13,13,13,13,13,13,72,196,204,204,50,13,13,13,14,14,14,14,52,158,168,168,168,168,168,168,167,132,15,15,17,17,17,17,18,18,19,19,19,19,21,21,21,23,23,22,19,19
34,51,32,26,21,21,21,18,18,17,16,15,14,13,13,13,13,13,13,69,197,204,204,49,13,14,14,14,14,14,14,53,190,204,204,204,204,204,204,204,191,24,17,17,17,18,18,19,19,19,19,20,20,21,21,21,23,23,23,21,19
35,51,32,26,21,21,20,18,18,17,15,15,14,13,13,13,13,13,13,61,196,204,204,52,13,14,14,14,14,14,14,30,183,204,204,204,204,204,204,204,191,25,17,17,17,18,18,19,19,19,19,20,20,21,21,23,23,23,23,21,19
36,51,32,26,21,21,21,18,18,16,16,15,14,14,14,14,14,13,13,46,192,204,204,62,13,14,14,14,14,14,14,15,16,29,29,29,31,110,204,204,191,25,17,18,18,18,18,19,19,19,19,21,21,21,21,23,23,23,23,21,20
37,51,33,27,21,21,21,18,18,16,16,15,15,14,14,14,14,14,13,31,186,204,204,117,14,15,15,15,15,15,15,16,16,16,16,16,18,102,204,204,191,26,17,18,18,18,18,19,20,19,19,21,21,21,21,23,23,23,23,21,20
38,51,33,27,22,21,21,19,18,16,16,16,16,15,15,14,14,14,14,18,149,204,204,197,21,15,15,15,15,16,16,16,16,16,16,16,18,102,204,204,191,27,18,18,18,19,19,19,19,21,21,21,21,22,23,23,23,24,23,22,20
39,51,34,27,22,22,22,19,18,17,16,16,16,15,15,14,14,14,14,15,65,203,204,204,52,15,15,15,15,16,16,16,16,16,16,16,18,102,204,204,191,27,18,18,18,19,19,19,19,21,21,21,21,22,23,23,23,24,25,22,20
40,51,34,27,22,22,22,19,18,18,17,17,16,15,15,15,15,15,15,15,39,196,204,204,111,15,15,16,16,16,16,16,16,16,16,17,19,102,204,204,191,27,18,19,19,19,19,21,21,21,21,21,21,23,23,23,23,25,25,22,20
41,52,34,27,23,22,22,20,18,18,18,17,16,15,15,15,15,15,15,15,17,150,204,204,204,48,15,16,16,16,16,16,16,16,16,17,19,102,204,204,191,27,18,19,19,19,19,21,21,22,22,22,22,23,23,23,23,25,25,22,20
42,52,34,27,23,22,22,20,19,19,18,17,17,16,16,16,16,15,15,15,15,27,194,204,204,202,46,16,16,16,16,16,16,17,17,17,19,103,204,204,191,27,19,19,19,21,21,21,21,22,22,22,23,23,24,24,24,26,26,23,20
43,52,34,27,24,22,22,20,19,19,18,18,17,16,16,16,16,15,15,15,15,16,54,202,204,204,204,97,37,18,16,16,16,17,20,40,71,103,204,204,191,27,19,19,19,21,21,21,21,22,22,22,23,24,24,24,25,26,26,23,22
44,53,34,27,24,24,22,22,22,20,19,18,18,16,16,16,16,16,16,16,16,16,16,67,203,204,204,204,200,137,85,78,80,86,96,119,182,204,204,204,192,27,19,21,21,21,21,22,22,22,22,23,24,24,24,25,25,26,26,24,22
45,53,35,28,24,24,22,22,22,21,19,18,18,16,16,16,16,16,16,16,16,16,16,16,34,196,204,204,204,204,204,204,204,204,204,204,204,204,204,204,157,27,19,21,21,21,21,22,22,22,23,24,24,24,24,25,25,26,26,24,22
46,53,36,30,25,24,22,24,22,21,21,18,18,18,18,18,17,16,16,16,16,16,16,16,16,18,97,200,204,204,204,204,204,204,204,204,204,203,142,38,30,23,21,21,21,22,22,22,22,24,24,24,24,25,25,26,26,27,27,25,22
47,53,36,30,27,24,24,24,23,21,21,18,18,18,18,18,17,16,16,16,16,17,16,16,17,16,16,21,28,92,143,170,176,164,134,83,34,30,26,22,19,21,21,21,21,22,22,22,24,24,24,24,24,25,25,26,26,27,28,25,24
48,53,36,30,26,25,24,24,24,22,22,20,19,19,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,19,21,23,23,24,24,22,20,19,19,21,21,21,21,22,22,22,22,24,24,24,24,25,25,25,25,27,27,27,28,25,24
49,54,36,30,26,26,24,24,24,24,22,20,19,19,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,19,19,19,19,19,19,21,21,21,21,22,22,22,24,24,24,24,24,25,25,25,25,27,27,29,28,26,24
50,55,37,31,27,26,26,25,24,24,22,22,21,21,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,20,20,21,21,21,21,22,22,23,24,24,24,25,25,25,25,26,26,27,27,29,28,27,24
51,55,37,31,28,26,26,25,24,24,24,22,22,21,21,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,21,21,22,22,22,22,22,22,24,24,24,24,26,26,26,26,26,26,28,28,29,28,27,24
52,55,38,32,28,27,27,26,26,24,24,24,22,22,22,21,21,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,21,21,22,22,22,22,22,22,23,24,24,24,25,25,26,26,26,26,27,27,28,28,29,30,27,25
53,55,39,32,29,29,28,26,26,24,24,24,24,22,22,21,21,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,21,21,21,21,22,22,22,22,23,24,24,24,24,24,26,26,26,26,26,26,27,29,29,29,30,30,27,25
54,55,40,33,29,29,29,28,27,26,26,25,24,24,22,22,22,22,22,21,21,21,21,19,21,21,21,21,21,21,21,21,21,22,22,21,21,22,22,22,24,24,24,24,24,25,25,26,26,26,26,27,27,29,29,29,30,31,30,28,26
55,55,40,34,29,30,29,28,28,26,26,25,25,24,24,24,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,23,23,24,24,24,24,24,24,26,26,26,26,27,27,28,28,29,29,30,31,31,30,28,27
56,55,40,34,31,31,31,29,28,28,27,27,27,26,26,24,24,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,24,24,24,24,24,25,25,25,25,26,26,27,27,27,27,28,28,29,30,31,31,31,31,28,27
57,56,40,34,32,31,31,31,29,28,28,27,27,26,26,24,24,24,24,24,24,22,22,22,22,22,22,22,22,22,22,22,22,22,23,24,24,24,24,24,24,26,26,26,26,27,27,27,27,28,29,29,29,30,31,31,31,31,31,28,27
58,57,40,34,32,32,31,31,31,29,29,28,28,28,27,27,27,26,26,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,26,26,26,26,27,27,28,28,29,29,29,30,31,31,31,31,31,31,30,28
59,57,40,34,32,32,32,31,31,31,29,29,28,28,28,27,27,26,26,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,26,26,26,26,26,26,27,27,28,29,29,29,29,30,31,31,31,31,31,31,32,33,30,28
